Problema,Columna,Predicción,Confianza_IA,GroundTruth,Acierto
1,Human_Code,Humano,0.2860621511936188,Humano,✔️
1,IA_Code,Humano,0.10439231246709824,IA,❌
2,Human_Code,IA,0.06252460181713104,Humano,❌
2,IA_Code,IA,0.0585891455411911,IA,✔️
3,Human_Code,Humano,0.4058370739221573,Humano,✔️
3,IA_Code,Humano,0.1032332330942154,IA,❌
4,Human_Code,Humano,0.1932767666876316,Humano,✔️
4,IA_Code,Humano,0.09767939150333405,IA,❌
5,Human_Code,Humano,0.6677579283714294,Humano,✔️
5,IA_Code,IA,0.0616772398352623,IA,✔️
6,Human_Code,Humano,0.08170013129711151,Humano,✔️
6,IA_Code,Humano,0.09482605010271072,IA,❌
7,Human_Code,Humano,0.09962116926908493,Humano,✔️
7,IA_Code,Humano,0.07802720367908478,IA,❌
8,Human_Code,Humano,0.10043267905712128,Humano,✔️
8,IA_Code,IA,0.0629345253109932,IA,✔️
9,Human_Code,Humano,0.42941394448280334,Humano,✔️
9,IA_Code,IA,0.06305104494094849,IA,✔️
10,Human_Code,Humano,0.3209908604621887,Humano,✔️
10,IA_Code,IA,0.05977283790707588,IA,✔️
11,Human_Code,IA,0.06378517299890518,Humano,❌
11,IA_Code,Humano,0.12165016680955887,IA,❌
12,Human_Code,Humano,0.2957549951970577,Humano,✔️
12,IA_Code,Humano,0.1497204601764679,IA,❌
13,Human_Code,IA,0.06995642185211182,Humano,❌
13,IA_Code,IA,0.06246248632669449,IA,✔️
14,Human_Code,Humano,0.20567476376891136,Humano,✔️
14,IA_Code,Humano,0.13295811414718628,IA,❌
15,Human_Code,Humano,0.47144973278045654,Humano,✔️
15,IA_Code,Humano,0.12447900325059891,IA,❌
16,Human_Code,Humano,0.08887412399053574,Humano,✔️
16,IA_Code,IA,0.05824058875441551,IA,✔️
17,Human_Code,Humano,0.10512776672840118,Humano,✔️
17,IA_Code,IA,0.05841940641403198,IA,✔️
18,Human_Code,Humano,0.5397720634937286,Humano,✔️
18,IA_Code,IA,0.06606724113225937,IA,✔️
19,Human_Code,IA,0.06672707945108414,Humano,❌
19,IA_Code,IA,0.05786493420600891,IA,✔️
20,Human_Code,Humano,0.6827327609062195,Humano,✔️
20,IA_Code,IA,0.060699790716171265,IA,✔️
21,Human_Code,Humano,0.5987721681594849,Humano,✔️
21,IA_Code,Humano,0.09765554219484329,IA,❌
22,Human_Code,Humano,0.09451432526111603,Humano,✔️
22,IA_Code,Humano,0.075132817029953,IA,❌
23,Human_Code,IA,0.06536398082971573,Humano,❌
23,IA_Code,Humano,0.165520703420043,IA,❌
24,Human_Code,Humano,0.27754154801368713,Humano,✔️
24,IA_Code,Humano,0.30079198628664017,IA,❌
25,Human_Code,Humano,0.07518041133880615,Humano,✔️
25,IA_Code,IA,0.05740334466099739,IA,✔️
26,Human_Code,Humano,0.2045161835849285,Humano,✔️
26,IA_Code,Humano,0.07655210047960281,IA,❌
27,Human_Code,IA,0.06869827210903168,Humano,❌
27,IA_Code,Humano,0.07374120503664017,IA,❌
28,Human_Code,Humano,0.3040691502392292,Humano,✔️
28,IA_Code,Humano,0.09158527851104736,IA,❌
29,Human_Code,Humano,0.19868482649326324,Humano,✔️
29,IA_Code,IA,0.06721097230911255,IA,✔️
30,Human_Code,IA,0.06557974219322205,Humano,❌
30,IA_Code,IA,0.05975993350148201,IA,✔️
31,Human_Code,Humano,0.5076978802680969,Humano,✔️
31,IA_Code,Humano,0.10439231246709824,IA,❌
32,Human_Code,IA,0.06384796649217606,Humano,❌
32,IA_Code,IA,0.0551360584795475,IA,✔️
33,Human_Code,Humano,0.11522325873374939,Humano,✔️
33,IA_Code,Humano,0.07893361151218414,IA,❌
34,Human_Code,Humano,0.16996726393699646,Humano,✔️
34,IA_Code,Humano,0.11059186607599258,IA,❌
35,Human_Code,Humano,0.08667286485433578,Humano,✔️
35,IA_Code,IA,0.05677255988121033,IA,✔️
36,Human_Code,Humano,0.17887960001826286,Humano,✔️
36,IA_Code,IA,0.06979665905237198,IA,✔️
37,Human_Code,Humano,0.07814440131187439,Humano,✔️
37,IA_Code,IA,0.06399170309305191,IA,✔️
38,Human_Code,IA,0.06454359740018845,Humano,❌
38,IA_Code,IA,0.06412748992443085,IA,✔️
39,Human_Code,Humano,0.10745849460363388,Humano,✔️
39,IA_Code,IA,0.06028779596090317,IA,✔️
40,Human_Code,Humano,0.7526307106018066,Humano,✔️
40,IA_Code,Humano,0.07968474179506302,IA,❌
41,Human_Code,IA,0.0665549784898758,Humano,❌
41,IA_Code,IA,0.05767124146223068,IA,✔️
42,Human_Code,Humano,0.24480722472071648,Humano,✔️
42,IA_Code,IA,0.05751384049654007,IA,✔️
43,Human_Code,Humano,0.07555567473173141,Humano,✔️
43,IA_Code,IA,0.06475541740655899,IA,✔️
44,Human_Code,Humano,0.3446778953075409,Humano,✔️
44,IA_Code,Humano,0.12095407396554947,IA,❌
45,Human_Code,IA,0.06476547569036484,Humano,❌
45,IA_Code,IA,0.06440500915050507,IA,✔️
46,Human_Code,Humano,0.5663377314805984,Humano,✔️
46,IA_Code,IA,0.06516191363334656,IA,✔️
47,Human_Code,Humano,0.1959434226155281,Humano,✔️
47,IA_Code,IA,0.05916399508714676,IA,✔️
48,Human_Code,IA,0.060964953154325485,Humano,❌
48,IA_Code,IA,0.06734509021043777,IA,✔️
49,Human_Code,Humano,0.6820157170295715,Humano,✔️
49,IA_Code,Humano,0.07846765965223312,IA,❌
50,Human_Code,IA,0.06222281977534294,Humano,❌
50,IA_Code,Humano,0.08191496133804321,IA,❌
51,Human_Code,Humano,0.10582263022661209,Humano,✔️
51,IA_Code,IA,0.0614173524081707,IA,✔️
52,Human_Code,Humano,0.0712725892663002,Humano,✔️
