Problema,Columna,Predicción,Confianza_IA,GroundTruth,Acierto
1,Human_Code,Humano,0.2860621511936188,Humano,✔️
1,IA_Code,IA,0.05893972888588905,IA,✔️
2,Human_Code,IA,0.06252460181713104,Humano,❌
2,IA_Code,IA,0.05860179662704468,IA,✔️
3,Human_Code,Humano,0.4058370739221573,Humano,✔️
3,IA_Code,IA,0.05672646686434746,IA,✔️
4,Human_Code,Humano,0.1932767666876316,Humano,✔️
4,IA_Code,IA,0.05810160934925079,IA,✔️
5,Human_Code,Humano,0.6677579283714294,Humano,✔️
5,IA_Code,Humano,0.08392019383609295,IA,❌
6,Human_Code,Humano,0.08170013129711151,Humano,✔️
6,IA_Code,IA,0.06128261983394623,IA,✔️
7,Human_Code,Humano,0.09962116926908493,Humano,✔️
7,IA_Code,IA,0.05910531431436539,IA,✔️
8,Human_Code,Humano,0.10043267905712128,Humano,✔️
8,IA_Code,IA,0.05502338334918022,IA,✔️
9,Human_Code,Humano,0.42941394448280334,Humano,✔️
9,IA_Code,IA,0.05923802778124809,IA,✔️
10,Human_Code,Humano,0.3209908604621887,Humano,✔️
10,IA_Code,IA,0.059058260172605515,IA,✔️
11,Human_Code,IA,0.06378517299890518,Humano,❌
11,IA_Code,IA,0.057873018085956573,IA,✔️
12,Human_Code,Humano,0.2957549951970577,Humano,✔️
12,IA_Code,IA,0.06230771169066429,IA,✔️
13,Human_Code,IA,0.06995642185211182,Humano,❌
13,IA_Code,IA,0.06606724113225937,IA,✔️
14,Human_Code,Humano,0.20567476376891136,Humano,✔️
14,IA_Code,IA,0.06308186799287796,IA,✔️
15,Human_Code,Humano,0.47144973278045654,Humano,✔️
15,IA_Code,IA,0.0585891455411911,IA,✔️
16,Human_Code,Humano,0.08887412399053574,Humano,✔️
16,IA_Code,IA,0.06199655309319496,IA,✔️
17,Human_Code,Humano,0.10512776672840118,Humano,✔️
17,IA_Code,Humano,0.07034019380807877,IA,❌
18,Human_Code,Humano,0.5397720634937286,Humano,✔️
18,IA_Code,IA,0.061553649604320526,IA,✔️
19,Human_Code,IA,0.06672707945108414,Humano,❌
19,IA_Code,IA,0.059882283210754395,IA,✔️
20,Human_Code,Humano,0.6827327609062195,Humano,✔️
20,IA_Code,IA,0.0694413036108017,IA,✔️
21,Human_Code,Humano,0.5987721681594849,Humano,✔️
21,IA_Code,Humano,0.24909496866166592,IA,❌
22,Human_Code,Humano,0.09451432526111603,Humano,✔️
22,IA_Code,IA,0.0605776309967041,IA,✔️
23,Human_Code,IA,0.06536398082971573,Humano,❌
23,IA_Code,IA,0.056188683956861496,IA,✔️
24,Human_Code,Humano,0.27754154801368713,Humano,✔️
24,IA_Code,IA,0.06263859570026398,IA,✔️
25,Human_Code,Humano,0.07518041133880615,Humano,✔️
25,IA_Code,IA,0.060623060911893845,IA,✔️
26,Human_Code,Humano,0.2045161835849285,Humano,✔️
26,IA_Code,IA,0.0591944195330143,IA,✔️
27,Human_Code,IA,0.06869827210903168,Humano,❌
27,IA_Code,IA,0.060082051903009415,IA,✔️
28,Human_Code,Humano,0.3040691502392292,Humano,✔️
28,IA_Code,IA,0.059224437922239304,IA,✔️
29,Human_Code,Humano,0.19868482649326324,Humano,✔️
29,IA_Code,IA,0.06070522964000702,IA,✔️
30,Human_Code,IA,0.06557974219322205,Humano,❌
30,IA_Code,IA,0.05813410505652428,IA,✔️
31,Human_Code,Humano,0.5076978802680969,Humano,✔️
31,IA_Code,IA,0.060753233730793,IA,✔️
32,Human_Code,IA,0.06384796649217606,Humano,❌
32,IA_Code,IA,0.058849696069955826,IA,✔️
33,Human_Code,Humano,0.11522325873374939,Humano,✔️
33,IA_Code,IA,0.0600125789642334,IA,✔️
34,Human_Code,Humano,0.16996726393699646,Humano,✔️
34,IA_Code,IA,0.0582171306014061,IA,✔️
35,Human_Code,Humano,0.08667286485433578,Humano,✔️
35,IA_Code,IA,0.0608755499124527,IA,✔️
36,Human_Code,Humano,0.17887960001826286,Humano,✔️
36,IA_Code,IA,0.05757040157914162,IA,✔️
37,Human_Code,Humano,0.07814440131187439,Humano,✔️
37,IA_Code,IA,0.05790921673178673,IA,✔️
38,Human_Code,IA,0.06454359740018845,Humano,❌
38,IA_Code,IA,0.05932360142469406,IA,✔️
39,Human_Code,Humano,0.10745849460363388,Humano,✔️
39,IA_Code,IA,0.06257551908493042,IA,✔️
40,Human_Code,Humano,0.7526307106018066,Humano,✔️
40,IA_Code,IA,0.06515643745660782,IA,✔️
41,Human_Code,IA,0.0665549784898758,Humano,❌
41,IA_Code,IA,0.0580562949180603,IA,✔️
42,Human_Code,Humano,0.24480722472071648,Humano,✔️
42,IA_Code,IA,0.06063516438007355,IA,✔️
43,Human_Code,Humano,0.07555567473173141,Humano,✔️
43,IA_Code,Humano,0.07356178015470505,IA,❌
44,Human_Code,Humano,0.3446778953075409,Humano,✔️
44,IA_Code,IA,0.06663532555103302,IA,✔️
45,Human_Code,IA,0.06476547569036484,Humano,❌
45,IA_Code,IA,0.05707553029060364,IA,✔️
46,Human_Code,Humano,0.5663377314805984,Humano,✔️
46,IA_Code,IA,0.060729458928108215,IA,✔️
47,Human_Code,Humano,0.1959434226155281,Humano,✔️
47,IA_Code,IA,0.05824058875441551,IA,✔️
48,Human_Code,IA,0.060964953154325485,Humano,❌
48,IA_Code,IA,0.05751384049654007,IA,✔️
49,Human_Code,Humano,0.6820157170295715,Humano,✔️
49,IA_Code,IA,0.06323413550853729,IA,✔️
50,Human_Code,IA,0.06222281977534294,Humano,❌
50,IA_Code,IA,0.0618315190076828,IA,✔️
51,Human_Code,Humano,0.10582263022661209,Humano,✔️
51,IA_Code,Humano,0.09145275503396988,IA,❌
52,Human_Code,Humano,0.0712725892663002,Humano,✔️
52,IA_Code,IA,0.06426902115345001,IA,✔️
53,Human_Code,Humano,0.4879023681084315,Humano,✔️
53,IA_Code,IA,0.058336250483989716,IA,✔️
54,Human_Code,Humano,0.08610629290342331,Humano,✔️
54,IA_Code,IA,0.06173592060804367,IA,✔️
55,Human_Code,IA,0.06484369188547134,Humano,❌
55,IA_Code,IA,0.05820590630173683,IA,✔️
56,Human_Code,Humano,0.11724872887134552,Humano,✔️
56,IA_Code,Humano,0.07912960648536682,IA,❌
57,Human_Code,Humano,0.11984777450561523,Humano,✔️
57,IA_Code,IA,0.0639558732509613,IA,✔️
58,Human_Code,IA,0.058992426842451096,Humano,❌
58,IA_Code,IA,0.05818775296211243,IA,✔️
59,Human_Code,Humano,0.1629699319601059,Humano,✔️
59,IA_Code,IA,0.05789756029844284,IA,✔️
60,Human_Code,IA,0.06880956888198853,Humano,❌
60,IA_Code,IA,0.05686870962381363,IA,✔️
61,Human_Code,Humano,0.5872868895530701,Humano,✔️
61,IA_Code,IA,0.061089858412742615,IA,✔️
62,Human_Code,IA,0.06971559673547745,Humano,❌
62,IA_Code,IA,0.05780397355556488,IA,✔️
63,Human_Code,Humano,0.20594494914015135,Humano,✔️
63,IA_Code,Humano,0.07306849956512451,IA,❌
64,Human_Code,Humano,0.7468757629394531,Humano,✔️
64,IA_Code,IA,0.05903729423880577,IA,✔️
65,Human_Code,Humano,0.4714314043521881,Humano,✔️
65,IA_Code,IA,0.05843851715326309,IA,✔️
66,Human_Code,Humano,0.3362543545663357,Humano,✔️
66,IA_Code,Humano,0.08536304533481598,IA,❌
67,Human_Code,Humano,0.17047512531280518,Humano,✔️
67,IA_Code,IA,0.05960264429450035,IA,✔️
68,Human_Code,IA,0.06117583066225052,Humano,❌
68,IA_Code,IA,0.061604566872119904,IA,✔️
69,Human_Code,Humano,0.10606666654348373,Humano,✔️
69,IA_Code,Humano,0.07526124268770218,IA,❌
70,Human_Code,Humano,0.4566666781902313,Humano,✔️
70,IA_Code,IA,0.06394894421100616,IA,✔️
71,Human_Code,Humano,0.0728815495967865,Humano,✔️
71,IA_Code,IA,0.0627569928765297,IA,✔️
72,Human_Code,Humano,0.07998473197221756,Humano,✔️
72,IA_Code,IA,0.06536560505628586,IA,✔️
73,Human_Code,Humano,0.08986522257328033,Humano,✔️
73,IA_Code,IA,0.059656236320734024,IA,✔️
74,Human_Code,Humano,0.35777799785137177,Humano,✔️
74,IA_Code,IA,0.06130502000451088,IA,✔️
75,Human_Code,Humano,0.08564553409814835,Humano,✔️
75,IA_Code,IA,0.054999690502882004,IA,✔️
76,Human_Code,Humano,0.10565095394849777,Humano,✔️
76,IA_Code,IA,0.056758347898721695,IA,✔️
77,Human_Code,Humano,0.4962962716817856,Humano,✔️
77,IA_Code,Humano,0.07431310415267944,IA,❌
78,Human_Code,Humano,0.4094213545322418,Humano,✔️
78,IA_Code,IA,0.05805051699280739,IA,✔️
79,Human_Code,Humano,0.11862986534833908,Humano,✔️
79,IA_Code,IA,0.06332384794950485,IA,✔️
80,Human_Code,Humano,0.07067200541496277,Humano,✔️
80,IA_Code,IA,0.05987805500626564,IA,✔️
81,Human_Code,Humano,0.3946402271588643,Humano,✔️
81,IA_Code,IA,0.06278901547193527,IA,✔️
82,Human_Code,Humano,0.3087049871683121,Humano,✔️
82,IA_Code,IA,0.0611036978662014,IA,✔️
83,Human_Code,Humano,0.10553503781557083,Humano,✔️
83,IA_Code,IA,0.06182459369301796,IA,✔️
84,Human_Code,IA,0.06278600543737411,Humano,❌
84,IA_Code,IA,0.058400996029376984,IA,✔️
85,Human_Code,IA,0.06918568909168243,Humano,❌
85,IA_Code,Humano,0.07008466124534607,IA,❌
86,Human_Code,Humano,0.2343633659183979,Humano,✔️
86,IA_Code,Humano,0.07268911600112915,IA,❌
87,Human_Code,Humano,0.09584257006645203,Humano,✔️
87,IA_Code,IA,0.06220218166708946,IA,✔️
88,Human_Code,Humano,0.21571776270866394,Humano,✔️
88,IA_Code,Humano,0.07002980262041092,IA,❌
89,Human_Code,Humano,0.1820022165775299,Humano,✔️
89,IA_Code,IA,0.054844699800014496,IA,✔️
90,Human_Code,Humano,0.49404385685920715,Humano,✔️
90,IA_Code,IA,0.058209627866744995,IA,✔️
91,Human_Code,Humano,0.2650294303894043,Humano,✔️
91,IA_Code,IA,0.0622418113052845,IA,✔️
92,Human_Code,Humano,0.08299440145492554,Humano,✔️
92,IA_Code,IA,0.06428290158510208,IA,✔️
93,Human_Code,IA,0.06884505599737167,Humano,❌
93,IA_Code,IA,0.05751241371035576,IA,✔️
94,Human_Code,Humano,0.13689831271767616,Humano,✔️
94,IA_Code,IA,0.05888034403324127,IA,✔️
95,Human_Code,Humano,0.11621709913015366,Humano,✔️
95,IA_Code,IA,0.06312038749456406,IA,✔️
96,Human_Code,IA,0.06767352670431137,Humano,❌
96,IA_Code,IA,0.059147465974092484,IA,✔️
97,Human_Code,Humano,0.09418748319149017,Humano,✔️
97,IA_Code,IA,0.06165039911866188,IA,✔️
98,Human_Code,IA,0.06849172711372375,Humano,❌
98,IA_Code,IA,0.060369376093149185,IA,✔️
99,Human_Code,Humano,0.3267895095050335,Humano,✔️
99,IA_Code,IA,0.05652501434087753,IA,✔️
100,Human_Code,IA,0.06886570900678635,Humano,❌
