Human_Code;IA_Code
"class Solution:
    def findSecretWord(self, words: List[str], master: 'Master') -> None:        
        k = 1 # for tracing the number of loops
        matches = 0
        blacklists = [[] for i in range(6)]
        
        while matches != 6:
            n = len(words)
            r = random.randint(0, n - 1)
            matches = master.guess(words[r])
            key = words[r]
            # print(k, n, r, matches, key)
            
            words.pop(r)
            
            if matches == 0:
                for i in range(6):
                    blacklists[i].append(key[i])
                # print(blacklists)
            
            elif matches > 0 and matches < 6:
                candidates = []
                for i in range(n - 1):
                    count = 0
                    for j in range(6):
                        if words[i][j] not in blacklists[j] and words[i][j] == key[j]:
                            count += 1
                    if count >= matches:
                        candidates.append(words[i])
                            
                words = candidates.copy()
                # print(words)
            
            k += 1";"class Solution:
    def findSecretWord(self, words, master):
        allowedGuesses = 10
        for _ in range(allowedGuesses):
            guess_word = words[0]
            matches = master.guess(guess_word)
            if matches == 6:
                return
            new_words = []
            for word in words:
                match_count = 0
                for a, b in zip(word, guess_word):
                    if a == b:
                        match_count += 1
                if match_count == matches:
                    new_words.append(word)
            words = new_words"
"class Solution:
    def isPowerOfThree(self, n: int) -> bool:
        # Dealing special case: 1.
        if n == 1:
            return True
        # If n is an odd, it is not a number that is power of three.
        # Also, eliminating those number did not have any factor of 3.
        elif n % 2 == 0 or n % 3 != 0:
            return False
        else:
            return power_of_three(n)

def power_of_three(n):
    # Base Case
    if n == 3:
        return True
    # If n is not devided by 3, it's not a power of three number.
    elif n % 3:
        return False
    elif n < 3:
        return False
    # Recursive
    else:
        return power_of_three(n / 3)";"n = int(input(""Enter an integer: ""))

if n <= 0:
    print(False)
else:
    while n % 3 == 0:
        n = n // 3
    if n == 1:
        print(True)
    else:
        print(False)"
"class Solution:
    def pushDominoes(self, dominoes: str) -> str:
        condensed = []
        
        index = 0
        currDir = dominoes[0]
        
        while index < len(dominoes) and dominoes[index] == currDir:
            index += 1
        
        count = index
                
        if index == len(dominoes):
            return dominoes
        elif currDir == '.' and dominoes[index] == 'L':
            currDir = dominoes[index]
            
            while index < len(dominoes) and dominoes[index] == currDir:
                index += 1
        
        condensed.append(currDir * index)
        count = 1
        
        if index == len(dominoes):
            return ''.join(condensed)
        
        currDir = dominoes[index]
        index += 1
        
        while index < len(dominoes):
            if dominoes[index] == currDir:
                count += 1
            else:
                if currDir == '.':
                    condensed.append([currDir, count])
                elif type(condensed[-1]) is not list:
                    condensed.append(currDir * count)
                else:
                    dotCount = condensed.pop()[1]
                    prevDir = condensed[-1][0]

                    if prevDir == currDir:
                        condensed.append(condensed.pop() + currDir * (dotCount + count))
                    elif prevDir == 'L':
                        condensed.append('.' * dotCount)
                        condensed.append(currDir * count)
                    else:
                        halfCount = dotCount // 2
                        hasExtraDot = halfCount*2 != dotCount
                        condensed.append(prevDir * halfCount)
                        if hasExtraDot:
                            condensed.append('.')
                        condensed.append(currDir * (halfCount + count))
                        
                currDir = dominoes[index]
                count = 1
                
            index += 1
        
        if condensed:
            if currDir == '.':            
                dotCount = count
                prevDir = condensed[-1][0]

                if prevDir == 'L':
                    condensed.append(currDir * dotCount)
                else:                
                    condensed.append(prevDir * dotCount)
            elif type(condensed[-1]) is list:
                dotCount = condensed.pop()[1]            
                
                if not condensed:
                    if currDir == 'L':
                        condensed.append(currDir * (dotCount + count))
                    else:
                        condensed.append('.' * dotCount)
                        condensed.append(currDir * count)
                else:
                    prevDir = condensed[-1][0]
                    
                    if prevDir == currDir:
                        condensed.append(condensed.pop() + currDir * (dotCount + count))
                    elif prevDir == 'L':
                        condensed.append('.' * dotCount)
                        condensed.append(currDir * count)
                    else:
                        halfCount = dotCount // 2
                        hasExtraDot = halfCount*2 != dotCount
                        condensed.append(prevDir * halfCount)
                        if hasExtraDot:
                            condensed.append('.')
                        condensed.append(currDir * (halfCount + count))
            else:
                condensed.append(currDir * count)
        else:
            condensed.append(currDir * count)
        
        return ''.join(condensed)";"n = len(dominoes)
forces = [0] * n
force = 0

# Left to right pass
for i in range(n):
    if dominoes[i] == 'R':
        force = n
    elif dominoes[i] == 'L':
        force = 0
    else:
        force = max(force - 1, 0)
    forces[i] += force

force = 0
# Right to left pass
for i in range(n-1, -1, -1):
    if dominoes[i] == 'L':
        force = n
    elif dominoes[i] == 'R':
        force = 0
    else:
        force = max(force - 1, 0)
    forces[i] -= force

result = []
for f in forces:
    if f > 0:
        result.append('R')
    elif f < 0:
        result.append('L')
    else:
        result.append('.')
        
final_state = ''.join(result)"
"class Solution:
    #Time-Complexity: O(n^2)
    #Space-Complexity: O(n)
    def integerBreak(self, n: int) -> int:
        #we know we can reduce n as 
        # n
    #   /  \
    #  1   n-1
    #     /  \
    #    1   n-2
    #     ...
    
        #Basically, we can keep reducing n like this in this tree structure above!
        #This is the pattern I recognized! I recognized for given n, there are 
        #potential sums of (1, n-1), (2, n-2), (3, n-3), ..., (n//2, n//2)!
        #For each pair, I can compare the direct number with the max product decomposition
        #and take the max of two!
        
        
        #Reason for comparison: for each of the sum factor of given n, either leave it
        #undecomposed or decompose it into further sum factors if the product of sum
        #factors produce ultimately a number that exceeds the orignal sum factor! This way
        #I am maximing product contribution for each and every sum factor!
        
        #For example, for 5, we decompose it into 2 and 3, since 2*3 > 5, so it will
        #maximize our product further!
        
        #However, for 3, we don't decompose since we can maximally decompose to
        #1 and 2 but 1*2 < 3!
        
        #Do that for both numbers of each pair and take the product!
        #Whatever is largest across the pairs will be answer for given input n!
    
        dp = [-1] * (n+1)
        #add dp-base!
        dp[1] = 1
    
        #this problem has only one state parameter: the given number to start decomposing           #from!
        #iterate through each subproblem or state!
        #Bottom-Up
        for i in range(2, n+1, 1):
            upper_bound = (i // 2) + 1
            #iterate through all possible pairs!
            for j in range(1, upper_bound, 1):
                #current pair (j, i-j), which we probably already solved its subproblems!
                first = max(j, dp[j])
                second = max(i-j, dp[i-j])
                #get product for current pair!
                sub_ans = first * second
                #compare current pair's product against built up answer maximum!
                dp[i] = max(dp[i], sub_ans)
    
        #then, once we are done, we can return dp[n]!
        return dp[n]";"n = int(input(""Enter an integer n: ""))

if n == 2:
    print(1)
elif n == 3:
    print(2)
else:
    product = 1
    while n > 4:
        product *= 3
        n -= 3
    product *= n
    print(product)"
"class Solution:
    def catMouseGame(self, graph: List[List[int]]) -> int:
        n = len(graph)
        
        @cache
        def fn(i, m, c): 
            """"""Return """"""
            if i == 2*n: return 0 # tie 
            if m == 0: return 1 # mouse wins
            if m == c: return 2 # cat wins 
            if i&amp,1: # cat's turn 
                tie = 0 
                for cc in graph[c]: 
                    if cc != 0: 
                        x = fn(i+1, m, cc)
                        if x == 2: return 2 
                        if x == 0: tie = 1
                if tie: return 0 
                return 1
            else: # mouse's turn 
                tie = 0 
                for mm in graph[m]: 
                    x = fn(i+1, mm, c)
                    if x == 1: return 1 
                    if x == 0: tie = 1
                if tie: return 0
                return 2 
        
        return fn(0, 1, 2)";"from collections import deque

def catMouseGame(graph):
    n = len(graph)
    DRAW, MOUSE, CAT = 0, 1, 2
    
    color = [[[0] * 3 for _ in range(n)] for __ in range(n)]
    degree = [[[0] * 3 for _ in range(n)] for __ in range(n)]
    
    for m in range(n):
        for c in range(n):
            degree[m][c][MOUSE] = len(graph[m])
            degree[m][c][CAT] = len(graph[c]) - (0 in graph[c])
    
    q = deque()
    
    for i in range(n):
        for t in [MOUSE, CAT]:
            color[0][i][t] = MOUSE
            q.append((0, i, t, MOUSE))
            if i != 0:
                color[i][i][t] = CAT
                q.append((i, i, t, CAT))
    
    while q:
        m, c, t, winner = q.popleft()
        if (m, c, t) == (1, 2, MOUSE):
            return winner
        for prev_m, prev_c, prev_t in get_parents(m, c, t, graph):
            if color[prev_m][prev_c][prev_t] != DRAW:
                continue
            if (prev_t == MOUSE and winner == MOUSE) or (prev_t == CAT and winner == CAT):
                color[prev_m][prev_c][prev_t] = winner
                q.append((prev_m, prev_c, prev_t, winner))
            else:
                degree[prev_m][prev_c][prev_t] -= 1
                if degree[prev_m][prev_c][prev_t] == 0:
                    color[prev_m][prev_c][prev_t] = CAT if prev_t == MOUSE else MOUSE
                    q.append((prev_m, prev_c, prev_t, color[prev_m][prev_c][prev_t]))
    
    return color[1][2][MOUSE]

def get_parents(m, c, t, graph):
    res = []
    if t == CAT:
        for prev_m in graph[m]:
            res.append((prev_m, c, MOUSE))
    else:
        for prev_c in graph[c]:
            if prev_c != 0:
                res.append((m, prev_c, CAT))
    return res"
"class Solution:
    def isPathCrossing(self, path: str) -> bool:
        #Store the directions(key) with their corresponding actions(values)
        directions = {'N': [0,1], 'E':[1,0], 'W':[-1,0], 'S':[0,-1]}
        
        #Keep the track of visited points
        visited = set()
        
        #Add the initial point from where you're starting
        visited.add((0,0))
        
        #Current trackers of x and y coordinates
        curr_x,curr_y = 0,0
        
        #Loop through all the path
        for i in path:
            curr_x += directions[i][0]
            curr_y += directions[i][1]
            
            #If visited for first time, add them to visited
            if (curr_x,curr_y) not in visited:
                visited.add((curr_x,curr_y))
            else:
                return True #Else return True
            
        return False #Return True if there is no re-visiting";"x = 0
y = 0
visited = {(0, 0)}
crossed = False

for direction in path:
    if direction == 'N':
        y += 1
    elif direction == 'S':
        y -= 1
    elif direction == 'E':
        x += 1
    elif direction == 'W':
        x -= 1
    
    if (x, y) in visited:
        crossed = True
        break
    visited.add((x, y))

print(crossed)"
"class Solution:
    def winnerSquareGame(self, n: int) -> bool:
        @cache
        def doIWin(n, isAlice):
            if n == 0: return False # I lost, i cannot pick anything more :(
            sqr = 1
            while sqr*sqr <= n:
                if False == doIWin(n-sqr*sqr, 1 ^ isAlice):
                    # i forced my opponent to lose :)
                    return True
                
                sqr += 1
            
            
            # I did not find any way to make opponent lose..
            return False
        
        return doIWin(n, True)
        """"""
        No need of 'isAlice' :)
        Just makes the code cleaner?
        """"""

		@cache
        def doIWin(n):
            if n == 0: return False # I lost, i cannot pick anything more :(
            sqr = 1
            while sqr*sqr <= n:
                if False == doIWin(n-sqr*sqr):
                    # i forced my opponent to lose :)
                    return True
                
                sqr += 1
            
            
            # I did not find any way to make opponent lose..
            return False
        
        return doIWin(n)

		# final optimization.. travel backwards from sqrt to 1 :)
        @cache
        def doIWin(n):
            if n == 0: return False # I lost, i cannot pick anything more :(
            sqr = floor(sqrt(n))
            while sqr:
                if not doIWin(n-sqr*sqr):
                    # i forced my opponent to lose :)
                    return True
                
                sqr -= 1
            
            # I did not find any way to make opponent lose..
            return False
        
        return doIWin(n)";"n = int(input())

dp = [False] * (n + 1)

for i in range(1, n + 1):
    j = 1
    while j * j <= i:
        if not dp[i - j * j]:
            dp[i] = True
            break
        j += 1

print(dp[n])"
"class Solution:
    def knightDialer1(self, n: int) -> int:
        # observe pattern of knight moves and store in lookup table

        # 0 -> 4, 6
        # 1 -> 6, 8
        # 2 -> 7, 9
        # 3 -> 4, 8
        # 4 -> 3, 9, 0
        # 5 -> -
        # 6 -> 1, 7, 0
        # 7 -> 2, 6
        # 8 -> 1, 3
        # 9 -> 2, 4

        # approach #1: recursive with memo
        # helper function takes (curr, left),
        # returns number of possible moves based on (curr)ent value and moves (left)
        # if left is 1, return 1
        # otherwise, recursive call into next value based on lookup dict

        lut = { 0 : [4,6],
                1 : [6,8],
                2 : [7,9],
                3 : [4,8],
                4 : [0,3,9],
                5 : [],
                6 : [0,1,7],
                7 : [2,6],
                8 : [1,3],
                9 : [2,4] }

        def hlpr(curr: int, left: int) -> int:
            if left == 1: return 1
            if (curr, left) in memo: return memo[(curr, left)]

            res = 0
            for next in lut[curr]:
                res += hlpr(next, left-1)

            memo[(curr, left)] = res
            return res

        # setup and recursive call
        memo = {}
        res = 0
        for i in [0,1,2,3,4,5,6,7,8,9]:
            res += hlpr(i, n)
        return res % (10**9 + 7)

    def knightDialer2(self, n: int) -> int:
        # tabulate the solution above
        # two dimensional table
        # dp[i][j] is total moves starting from j, with i moves left
        # curr, which can be from 0-9 (cols)
        # left, which is strictly decreasing (rows)
        # O(N) time and space

        lut = { 0 : [4,6],
                1 : [6,8],
                2 : [7,9],
                3 : [4,8],
                4 : [0,3,9],
                5 : [],
                6 : [0,1,7],
                7 : [2,6],
                8 : [1,3],
                9 : [2,4] }

        dp = [[0 for _ in range(10)] for __ in range(n)]

        for i in range(10):
            dp[0][i] = 1

        for i in range(1,n):
            for j in range(10):
                tmp = 0
                for next in lut[j]:
                    tmp += dp[i-1][next]
                dp[i][j] += tmp

        return sum(dp[-1]) % (10**9 + 7)

    def knightDialer(self, n: int) -> int:
        # last trick, only need a single row of array rather than N rows
        # dp[i] represents total moves starting from i
        # make a copy of current dp row, and refer to that
        # using the actual dp row to store subproblem result
        # O(N) time, O(1) space

        lut = { 0 : [4,6],
                1 : [6,8],
                2 : [7,9],
                3 : [4,8],
                4 : [0,3,9],
                5 : [],
                6 : [0,1,7],
                7 : [2,6],
                8 : [1,3],
                9 : [2,4] }

        dp = [1 for _ in range(10)]

        for _ in range(1,n):
            last = dp[:]

            for j in range(10):
                tmp = 0
                for next in lut[j]:
                    tmp += last[next]
                dp[j] = tmp

        return sum(dp) % (10**9 + 7)";"MOD = 10**9 + 7

n = int(input())

if n == 0:
    print(0)
else:
    moves = {
        0: [4, 6],
        1: [6, 8],
        2: [7, 9],
        3: [4, 8],
        4: [0, 3, 9],
        5: [],
        6: [0, 1, 7],
        7: [2, 6],
        8: [1, 3],
        9: [2, 4]
    }
    
    dp_prev = [1] * 10
    
    for _ in range(1, n):
        dp_curr = [0] * 10
        for num in range(10):
            for neighbor in moves[num]:
                dp_curr[num] += dp_prev[neighbor]
                dp_curr[num] %= MOD
        dp_prev = dp_curr
    
    total = sum(dp_prev) % MOD
    print(total)"
"class Solution:
    def stoneGameII(self, piles: List[int]) -> int:
        n = len(piles)
        dp = {} 
        def recursion(index,M):
            # if we reached to the end we cannot score any value
            if index == n:
                return 0
            # we search if we have solved the same case earlier
            if (index,M) in dp:
                return dp[(index,M)] 
            # total remaining score is the sum of array from index to the end
            total = sum(piles[index:])           
            # if we can take the complete array it is the best choice
            if index + 2*M >= n :return total
            # my_score is the score we are getting as the player who is playing
            my_score = 0
            for x in range(index,index+2*M):
                # opponent score will be calculated by next recursion
                opponent_score = recursion(x+1,max(M,x-index+1))
                # my_score is the remaining value of total - opponent_score
                my_score = max(my_score,total - opponent_score)          
            # this is memoization part
            dp[(index,M)] = my_score
            # return the score
            return my_score
        
        return recursion(0,1)";"def stoneGameII(piles):
    n = len(piles)
    dp = [[0] * (n + 1) for _ in range(n)]
    suffix_sum = [0] * (n + 1)
    for i in range(n - 1, -1, -1):
        suffix_sum[i] = suffix_sum[i + 1] + piles[i]
    for i in range(n - 1, -1, -1):
        for m in range(1, n + 1):
            if i + 2 * m >= n:
                dp[i][m] = suffix_sum[i]
            else:
                max_stones = 0
                for x in range(1, 2 * m + 1):
                    if i + x > n:
                        break
                    current = suffix_sum[i] - dp[i + x][max(m, x)]
                    if current > max_stones:
                        max_stones = current
                dp[i][m] = max_stones
    return dp[0][1]"
"class Solution:
    def countBits(self, n: int) -> List[int]:
        #knowing the number of 1-bits in bin. rep of lower values of i than the current i
        #can have to solve current subproblem for i, since if i is odd,
        #number of 1 bits for i = number of 1 bits for previous number(even) + 1
        #number of 1 bits for i if it is even and power of 2 = 1
        #number of 1 bits for i if it not power of 2 but even = number of 
        #largest powers of 2 even numbers I can use to sum up to i!
        #Ex. 6 = 4 + 2 -> used 2 powers of 2 = need 2 1-bits in bin. rep of 6!
        #Ex. 7 = 6 + 1 -> 6 uses 2 1-bits so 7 requires 2+1 = 3 1-bits in its bin. rep!
        
        #I showed with above examples that this problem demonstrates optimal substructure
        #property! -> Might be useful in bottom-up solve for lower values of state
        #parameter i and work your way in inc. order -> State parameter i corresponds
        #to each and every index of ans array length n+1!
        
        #also, we may need to refer to same number multiple times while
        #building up our solution -> Overlapping subproblem property satisfied!
        
        
        #Let me first attempt recursive approach!
        #I know I will face TLE so let's add dp memo for memoization!
        dp = [-1] * (n+1)
        #base cases
        if(n == 0):
            return [0]
        if(n == 1):
            return [0, 1]
        
        #add a memo base case
        if(dp[n] != -1):
            return dp[n]
        
        #for n>1, array with at least 3 elements!
        
        #check if n is even and is power of 2!
        #if it is power of 2, taking bitwise and with itself and one less in value
        #bin. rep should produce all 0-bits1
        if(n % 2 == 0 and (n &amp, n-1) == 0):
            #answer will be array from recursive call on n-1 plus the 1 1-bit required
            #for base 2 power even numbered n!
            dp[n] = self.countBits(n-1) + [1]
            return  self.countBits(n-1) + [1]
        #last index n is odd case!
        if(n%2 != 0):
            recurse = self.countBits(n-1)
            num_bits_prev_num = recurse[-1]
            dp[n] = recurse + [num_bits_prev_num + 1]
            return recurse + [num_bits_prev_num + 1]
        
        #last case: even number n not power of 2!
        else:
            #as long as we didn't reduce n!
            i = 2
            ans = 0
            while n:
                if((n - i) &amp, (n-i-1) == 0):
                    n -= (n-i)
                    i = 2
                    continue
                else:
                    i += 2
            dp[n] = self.countBits(n-1) + [ans]
            return self.countBits(n-1) + [ans]";"n = int(input(""Enter a number: ""))
ans = []
for i in range(n + 1):
    count = 0
    num = i
    while num > 0:
        if num % 2 == 1:
            count += 1
        num = num // 2
    ans.append(count)
print(ans)"
