Human_Code;IA_Code
"class Solution:
    def findSecretWord(self, words: List[str], master: 'Master') -> None:        
        k = 1 # for tracing the number of loops
        matches = 0
        blacklists = [[] for i in range(6)]
        
        while matches != 6:
            n = len(words)
            r = random.randint(0, n - 1)
            matches = master.guess(words[r])
            key = words[r]
            # print(k, n, r, matches, key)
            
            words.pop(r)
            
            if matches == 0:
                for i in range(6):
                    blacklists[i].append(key[i])
                # print(blacklists)
            
            elif matches > 0 and matches < 6:
                candidates = []
                for i in range(n - 1):
                    count = 0
                    for j in range(6):
                        if words[i][j] not in blacklists[j] and words[i][j] == key[j]:
                            count += 1
                    if count >= matches:
                        candidates.append(words[i])
                            
                words = candidates.copy()
                # print(words)
            
            k += 1";"# Master.adivinar(palabra)
# """"""
# @param {string[]} lista_palabras
# @param {Master} maestro
# @return {None}
# """"""
class Solucion(object):
    def encontrarPalabraSecreta(self, lista_palabras, maestro):
        
        intentos = 0
        while intentos < 10:
            
            palabra_a_probar = lista_palabras[0]
            coincidencias = maestro.adivinar(palabra_a_probar)
            
            if coincidencias == 6:
                return

            nueva_lista_palabras = []
            
            for palabra in lista_palabras:
                
                coincidencias_entre_palabras = 0
                i = 0
                while i < 6:
                    if palabra_a_probar[i] == palabra[i]:
                        coincidencias_entre_palabras = coincidencias_entre_palabras + 1
                    i = i + 1
                
                if coincidencias_entre_palabras == coincidencias:
                    nueva_lista_palabras.append(palabra)
            
            lista_palabras = nueva_lista_palabras
            intentos = intentos + 1"
"class Solution:
    def isPowerOfThree(self, n: int) -> bool:
        # Dealing special case: 1.
        if n == 1:
            return True
        # If n is an odd, it is not a number that is power of three.
        # Also, eliminating those number did not have any factor of 3.
        elif n % 2 == 0 or n % 3 != 0:
            return False
        else:
            return power_of_three(n)

def power_of_three(n):
    # Base Case
    if n == 3:
        return True
    # If n is not devided by 3, it's not a power of three number.
    elif n % 3:
        return False
    elif n < 3:
        return False
    # Recursive
    else:
        return power_of_three(n / 3)";"def es_potencia_de_tres(numero):
    if numero < 1:
        return False

    while numero % 3 == 0:
        numero = numero / 3

    if numero == 1:
        return True
    else:
        return False"
"class Solution:
    def pushDominoes(self, dominoes: str) -> str:
        condensed = []
        
        index = 0
        currDir = dominoes[0]
        
        while index < len(dominoes) and dominoes[index] == currDir:
            index += 1
        
        count = index
                
        if index == len(dominoes):
            return dominoes
        elif currDir == '.' and dominoes[index] == 'L':
            currDir = dominoes[index]
            
            while index < len(dominoes) and dominoes[index] == currDir:
                index += 1
        
        condensed.append(currDir * index)
        count = 1
        
        if index == len(dominoes):
            return ''.join(condensed)
        
        currDir = dominoes[index]
        index += 1
        
        while index < len(dominoes):
            if dominoes[index] == currDir:
                count += 1
            else:
                if currDir == '.':
                    condensed.append([currDir, count])
                elif type(condensed[-1]) is not list:
                    condensed.append(currDir * count)
                else:
                    dotCount = condensed.pop()[1]
                    prevDir = condensed[-1][0]

                    if prevDir == currDir:
                        condensed.append(condensed.pop() + currDir * (dotCount + count))
                    elif prevDir == 'L':
                        condensed.append('.' * dotCount)
                        condensed.append(currDir * count)
                    else:
                        halfCount = dotCount // 2
                        hasExtraDot = halfCount*2 != dotCount
                        condensed.append(prevDir * halfCount)
                        if hasExtraDot:
                            condensed.append('.')
                        condensed.append(currDir * (halfCount + count))
                        
                currDir = dominoes[index]
                count = 1
                
            index += 1
        
        if condensed:
            if currDir == '.':            
                dotCount = count
                prevDir = condensed[-1][0]

                if prevDir == 'L':
                    condensed.append(currDir * dotCount)
                else:                
                    condensed.append(prevDir * dotCount)
            elif type(condensed[-1]) is list:
                dotCount = condensed.pop()[1]            
                
                if not condensed:
                    if currDir == 'L':
                        condensed.append(currDir * (dotCount + count))
                    else:
                        condensed.append('.' * dotCount)
                        condensed.append(currDir * count)
                else:
                    prevDir = condensed[-1][0]
                    
                    if prevDir == currDir:
                        condensed.append(condensed.pop() + currDir * (dotCount + count))
                    elif prevDir == 'L':
                        condensed.append('.' * dotCount)
                        condensed.append(currDir * count)
                    else:
                        halfCount = dotCount // 2
                        hasExtraDot = halfCount*2 != dotCount
                        condensed.append(prevDir * halfCount)
                        if hasExtraDot:
                            condensed.append('.')
                        condensed.append(currDir * (halfCount + count))
            else:
                condensed.append(currDir * count)
        else:
            condensed.append(currDir * count)
        
        return ''.join(condensed)";"class Solucion:
    def empujar_dominoes(self, dominoes):
        dominoes_con_bordes = 'L' + dominoes + 'R'
        
        lista_dominoes = []
        for caracter in dominoes_con_bordes:
            lista_dominoes.append(caracter)

        i = 0
        j = 1
        
        longitud = len(lista_dominoes)
        
        while j < longitud:
            if lista_dominoes[j] == '.':
                j = j + 1
                continue
            
            simbolo_i = lista_dominoes[i]
            simbolo_j = lista_dominoes[j]
            
            if simbolo_i == 'L' and simbolo_j == 'L':
                puntero = i + 1
                while puntero < j:
                    lista_dominoes[puntero] = 'L'
                    puntero = puntero + 1
            elif simbolo_i == 'R' and simbolo_j == 'R':
                puntero = i + 1
                while puntero < j:
                    lista_dominoes[puntero] = 'R'
                    puntero = puntero + 1
            elif simbolo_i == 'R' and simbolo_j == 'L':
                izquierda = i + 1
                derecha = j - 1
                while izquierda < derecha:
                    lista_dominoes[izquierda] = 'R'
                    lista_dominoes[derecha] = 'L'
                    izquierda = izquierda + 1
                    derecha = derecha - 1

            i = j
            j = j + 1
            
        lista_resultado = lista_dominoes[1:longitud-1]
        
        cadena_final = """"
        for caracter in lista_resultado:
            cadena_final = cadena_final + caracter
            
        return cadena_final"
"class Solution:
    #Time-Complexity: O(n^2)
    #Space-Complexity: O(n)
    def integerBreak(self, n: int) -> int:
        #we know we can reduce n as 
        # n
    #   /  \
    #  1   n-1
    #     /  \
    #    1   n-2
    #     ...
    
        #Basically, we can keep reducing n like this in this tree structure above!
        #This is the pattern I recognized! I recognized for given n, there are 
        #potential sums of (1, n-1), (2, n-2), (3, n-3), ..., (n//2, n//2)!
        #For each pair, I can compare the direct number with the max product decomposition
        #and take the max of two!
        
        
        #Reason for comparison: for each of the sum factor of given n, either leave it
        #undecomposed or decompose it into further sum factors if the product of sum
        #factors produce ultimately a number that exceeds the orignal sum factor! This way
        #I am maximing product contribution for each and every sum factor!
        
        #For example, for 5, we decompose it into 2 and 3, since 2*3 > 5, so it will
        #maximize our product further!
        
        #However, for 3, we don't decompose since we can maximally decompose to
        #1 and 2 but 1*2 < 3!
        
        #Do that for both numbers of each pair and take the product!
        #Whatever is largest across the pairs will be answer for given input n!
    
        dp = [-1] * (n+1)
        #add dp-base!
        dp[1] = 1
    
        #this problem has only one state parameter: the given number to start decomposing           #from!
        #iterate through each subproblem or state!
        #Bottom-Up
        for i in range(2, n+1, 1):
            upper_bound = (i // 2) + 1
            #iterate through all possible pairs!
            for j in range(1, upper_bound, 1):
                #current pair (j, i-j), which we probably already solved its subproblems!
                first = max(j, dp[j])
                second = max(i-j, dp[i-j])
                #get product for current pair!
                sub_ans = first * second
                #compare current pair's product against built up answer maximum!
                dp[i] = max(dp[i], sub_ans)
    
        #then, once we are done, we can return dp[n]!
        return dp[n]";"def romper_entero(numero):
    if numero == 2:
        return 1
    if numero == 3:
        return 2

    producto = 1
    while numero > 4:
        producto = producto * 3
        numero = numero - 3
    
    producto_final = producto * numero
    
    return producto_final"
"class Solution:
    def catMouseGame(self, graph: List[List[int]]) -> int:
        n = len(graph)
        
        @cache
        def fn(i, m, c): 
            """"""Return """"""
            if i == 2*n: return 0 # tie 
            if m == 0: return 1 # mouse wins
            if m == c: return 2 # cat wins 
            if i&amp,1: # cat's turn 
                tie = 0 
                for cc in graph[c]: 
                    if cc != 0: 
                        x = fn(i+1, m, cc)
                        if x == 2: return 2 
                        if x == 0: tie = 1
                if tie: return 0 
                return 1
            else: # mouse's turn 
                tie = 0 
                for mm in graph[m]: 
                    x = fn(i+1, mm, c)
                    if x == 1: return 1 
                    if x == 0: tie = 1
                if tie: return 0
                return 2 
        
        return fn(0, 1, 2)";"class Solucion:
    def juegoGatoRaton(self, grafo):
        num_nodos = len(grafo)

        # Estados: color[pos_raton][pos_gato][turno]
        # turno 0: turno del raton
        # turno 1: turno del gato
        # resultado 0: Empate (inicial), 1: Gana Raton, 2: Gana Gato
        color = []
        for i in range(num_nodos):
            fila_raton = []
            for j in range(num_nodos):
                fila_gato = [0, 0]
                fila_raton.append(fila_gato)
            color.append(fila_raton)

        grados = []
        for i in range(num_nodos):
            fila_raton = []
            for j in range(num_nodos):
                fila_gato = [0, 0]
                fila_raton.append(fila_gato)
            grados.append(fila_raton)
        
        cola = []

        # Inicializar grados y estados terminales
        for pos_raton in range(num_nodos):
            for pos_gato in range(1, num_nodos):
                # Grados para el turno del raton
                grados[pos_raton][pos_gato][0] = len(grafo[pos_raton])
                # Grados para el turno del gato
                grados[pos_raton][pos_gato][1] = len(grafo[pos_gato])
                
                # El gato no puede ir a la madriguera (nodo 0)
                tiene_cero = False
                for vecino_gato in grafo[pos_gato]:
                    if vecino_gato == 0:
                        tiene_cero = True
                        break
                if tiene_cero:
                    grados[pos_raton][pos_gato][1] = grados[pos_raton][pos_gato][1] - 1

                # El raton llega a la madriguera (Gana Raton)
                if pos_raton == 0:
                    color[pos_raton][pos_gato][0] = 1
                    color[pos_raton][pos_gato][1] = 1
                    cola.append((pos_raton, pos_gato, 0, 1))
                    cola.append((pos_raton, pos_gato, 1, 1))
                
                # El gato atrapa al raton (Gana Gato)
                if pos_gato == pos_raton:
                    color[pos_raton][pos_gato][0] = 2
                    color[pos_raton][pos_gato][1] = 2
                    cola.append((pos_raton, pos_gato, 0, 2))
                    cola.append((pos_raton, pos_gato, 1, 2))

        # Propagacion de los resultados usando una cola (BFS)
        indice_cola = 0
        while indice_cola < len(cola):
            raton, gato, turno, resultado = cola[indice_cola]
            indice_cola = indice_cola + 1
            
            # Si el turno actual es del raton, el turno anterior fue del gato
            if turno == 0:
                for prev_gato in grafo[gato]:
                    if prev_gato == 0:
                        continue
                    
                    if color[raton][prev_gato][1] == 0: # Si el estado anterior aun no tiene resultado
                        if resultado == 2: # El gato encontro una jugada ganadora
                            color[raton][prev_gato][1] = 2
                            cola.append((raton, prev_gato, 1, 2))
                        else: # El gato debe evitar que gane el raton
                            grados[raton][prev_gato][1] = grados[raton][prev_gato][1] - 1
                            if grados[raton][prev_gato][1] == 0:
                                color[raton][prev_gato][1] = 1
                                cola.append((raton, prev_gato, 1, 1))
            
            # Si el turno actual es del gato, el turno anterior fue del raton
            else:
                for prev_raton in grafo[raton]:
                    if color[prev_raton][gato][0] == 0: # Si el estado anterior aun no tiene resultado
                        if resultado == 1: # El raton encontro una jugada ganadora
                            color[prev_raton][gato][0] = 1
                            cola.append((prev_raton, gato, 0, 1))
                        else: # El raton debe evitar que gane el gato
                            grados[prev_raton][gato][0] = grados[prev_raton][gato][0] - 1
                            if grados[prev_raton][gato][0] == 0:
                                color[prev_raton][gato][0] = 2
                                cola.append((prev_raton, gato, 0, 2))
                                
        return color[1][2][0]"
"class Solution:
    def isPathCrossing(self, path: str) -> bool:
        #Store the directions(key) with their corresponding actions(values)
        directions = {'N': [0,1], 'E':[1,0], 'W':[-1,0], 'S':[0,-1]}
        
        #Keep the track of visited points
        visited = set()
        
        #Add the initial point from where you're starting
        visited.add((0,0))
        
        #Current trackers of x and y coordinates
        curr_x,curr_y = 0,0
        
        #Loop through all the path
        for i in path:
            curr_x += directions[i][0]
            curr_y += directions[i][1]
            
            #If visited for first time, add them to visited
            if (curr_x,curr_y) not in visited:
                visited.add((curr_x,curr_y))
            else:
                return True #Else return True
            
        return False #Return True if there is no re-visiting";"class Solucion:
    def la_ruta_se_cruza(self, ruta: str) -> bool:
        posicion_x = 0
        posicion_y = 0
        
        puntos_visitados = [(0, 0)]
        
        for movimiento in ruta:
            if movimiento == 'N':
                posicion_y = posicion_y + 1
            elif movimiento == 'S':
                posicion_y = posicion_y - 1
            elif movimiento == 'E':
                posicion_x = posicion_x + 1
            elif movimiento == 'W':
                posicion_x = posicion_x - 1
            
            punto_actual = (posicion_x, posicion_y)
            
            if punto_actual in puntos_visitados:
                return True
            else:
                puntos_visitados.append(punto_actual)
                
        return False"
"class Solution:
    def winnerSquareGame(self, n: int) -> bool:
        @cache
        def doIWin(n, isAlice):
            if n == 0: return False # I lost, i cannot pick anything more :(
            sqr = 1
            while sqr*sqr <= n:
                if False == doIWin(n-sqr*sqr, 1 ^ isAlice):
                    # i forced my opponent to lose :)
                    return True
                
                sqr += 1
            
            
            # I did not find any way to make opponent lose..
            return False
        
        return doIWin(n, True)
        """"""
        No need of 'isAlice' :)
        Just makes the code cleaner?
        """"""

		@cache
        def doIWin(n):
            if n == 0: return False # I lost, i cannot pick anything more :(
            sqr = 1
            while sqr*sqr <= n:
                if False == doIWin(n-sqr*sqr):
                    # i forced my opponent to lose :)
                    return True
                
                sqr += 1
            
            
            # I did not find any way to make opponent lose..
            return False
        
        return doIWin(n)

		# final optimization.. travel backwards from sqrt to 1 :)
        @cache
        def doIWin(n):
            if n == 0: return False # I lost, i cannot pick anything more :(
            sqr = floor(sqrt(n))
            while sqr:
                if not doIWin(n-sqr*sqr):
                    # i forced my opponent to lose :)
                    return True
                
                sqr -= 1
            
            # I did not find any way to make opponent lose..
            return False
        
        return doIWin(n)";"def ganador_piedra(n):
    puede_ganar = [False] * (n + 1)
    
    contador_i = 1
    while contador_i <= n:
        
        contador_k = 1
        while True:
            cuadrado = contador_k * contador_k
            
            if cuadrado > contador_i:
                break
            
            if puede_ganar[contador_i - cuadrado] == False:
                puede_ganar[contador_i] = True
                break
                
            contador_k = contador_k + 1
            
        contador_i = contador_i + 1
        
    return puede_ganar[n]"
"class Solution:
    def knightDialer1(self, n: int) -> int:
        # observe pattern of knight moves and store in lookup table

        # 0 -> 4, 6
        # 1 -> 6, 8
        # 2 -> 7, 9
        # 3 -> 4, 8
        # 4 -> 3, 9, 0
        # 5 -> -
        # 6 -> 1, 7, 0
        # 7 -> 2, 6
        # 8 -> 1, 3
        # 9 -> 2, 4

        # approach #1: recursive with memo
        # helper function takes (curr, left),
        # returns number of possible moves based on (curr)ent value and moves (left)
        # if left is 1, return 1
        # otherwise, recursive call into next value based on lookup dict

        lut = { 0 : [4,6],
                1 : [6,8],
                2 : [7,9],
                3 : [4,8],
                4 : [0,3,9],
                5 : [],
                6 : [0,1,7],
                7 : [2,6],
                8 : [1,3],
                9 : [2,4] }

        def hlpr(curr: int, left: int) -> int:
            if left == 1: return 1
            if (curr, left) in memo: return memo[(curr, left)]

            res = 0
            for next in lut[curr]:
                res += hlpr(next, left-1)

            memo[(curr, left)] = res
            return res

        # setup and recursive call
        memo = {}
        res = 0
        for i in [0,1,2,3,4,5,6,7,8,9]:
            res += hlpr(i, n)
        return res % (10**9 + 7)

    def knightDialer2(self, n: int) -> int:
        # tabulate the solution above
        # two dimensional table
        # dp[i][j] is total moves starting from j, with i moves left
        # curr, which can be from 0-9 (cols)
        # left, which is strictly decreasing (rows)
        # O(N) time and space

        lut = { 0 : [4,6],
                1 : [6,8],
                2 : [7,9],
                3 : [4,8],
                4 : [0,3,9],
                5 : [],
                6 : [0,1,7],
                7 : [2,6],
                8 : [1,3],
                9 : [2,4] }

        dp = [[0 for _ in range(10)] for __ in range(n)]

        for i in range(10):
            dp[0][i] = 1

        for i in range(1,n):
            for j in range(10):
                tmp = 0
                for next in lut[j]:
                    tmp += dp[i-1][next]
                dp[i][j] += tmp

        return sum(dp[-1]) % (10**9 + 7)

    def knightDialer(self, n: int) -> int:
        # last trick, only need a single row of array rather than N rows
        # dp[i] represents total moves starting from i
        # make a copy of current dp row, and refer to that
        # using the actual dp row to store subproblem result
        # O(N) time, O(1) space

        lut = { 0 : [4,6],
                1 : [6,8],
                2 : [7,9],
                3 : [4,8],
                4 : [0,3,9],
                5 : [],
                6 : [0,1,7],
                7 : [2,6],
                8 : [1,3],
                9 : [2,4] }

        dp = [1 for _ in range(10)]

        for _ in range(1,n):
            last = dp[:]

            for j in range(10):
                tmp = 0
                for next in lut[j]:
                    tmp += last[next]
                dp[j] = tmp

        return sum(dp) % (10**9 + 7)";"def marcador_caballo(n):
    MODULO = 1000000007

    if n == 1:
        return 10

    movimientos = [
        [4, 6],       # Desde 0
        [6, 8],       # Desde 1
        [7, 9],       # Desde 2
        [4, 8],       # Desde 3
        [0, 3, 9],    # Desde 4
        [],           # Desde 5
        [0, 1, 7],    # Desde 6
        [2, 6],       # Desde 7
        [1, 3],       # Desde 8
        [2, 4]        # Desde 9
    ]

    # Para una longitud de 1, hay una forma de terminar en cada número.
    caminos = [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]

    # Se necesitan n-1 saltos para un número de longitud n.
    contador_saltos = 1
    while contador_saltos < n:
        caminos_siguiente_salto = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
        
        numero_actual = 0
        while numero_actual < 10:
            
            # Ver los movimientos posibles desde el número actual
            posibles_destinos = movimientos[numero_actual]
            
            # Para cada destino, sumar las formas de llegar al número actual
            for destino in posibles_destinos:
                formas_de_llegar_al_numero_actual = caminos[numero_actual]
                caminos_siguiente_salto[destino] = (caminos_siguiente_salto[destino] + formas_de_llegar_al_numero_actual) % MODULO

            numero_actual = numero_actual + 1
        
        # Actualizamos los caminos para el siguiente paso
        caminos = caminos_siguiente_salto
        contador_saltos = contador_saltos + 1

    # Sumar todas las formas de obtener un número de longitud n
    total_numeros = 0
    for cantidad in caminos:
        total_numeros = (total_numeros + cantidad) % MODULO
    
    return total_numeros"
"class Solution:
    def stoneGameII(self, piles: List[int]) -> int:
        n = len(piles)
        dp = {} 
        def recursion(index,M):
            # if we reached to the end we cannot score any value
            if index == n:
                return 0
            # we search if we have solved the same case earlier
            if (index,M) in dp:
                return dp[(index,M)] 
            # total remaining score is the sum of array from index to the end
            total = sum(piles[index:])           
            # if we can take the complete array it is the best choice
            if index + 2*M >= n :return total
            # my_score is the score we are getting as the player who is playing
            my_score = 0
            for x in range(index,index+2*M):
                # opponent score will be calculated by next recursion
                opponent_score = recursion(x+1,max(M,x-index+1))
                # my_score is the remaining value of total - opponent_score
                my_score = max(my_score,total - opponent_score)          
            # this is memoization part
            dp[(index,M)] = my_score
            # return the score
            return my_score
        
        return recursion(0,1)";"def juego_de_piedras(pilas):
    n = len(pilas)

    sumas_sufijo = []
    i = 0
    while i < n + 1:
        sumas_sufijo.append(0)
        i = i + 1

    i = n - 1
    while i >= 0:
        sumas_sufijo[i] = sumas_sufijo[i + 1] + pilas[i]
        i = i - 1

    tabla_dp = []
    i = 0
    while i < n + 1:
        fila = []
        j = 0
        while j < n + 1:
            fila.append(0)
            j = j + 1
        tabla_dp.append(fila)
        i = i + 1

    i = n - 1
    while i >= 0:
        m = 1
        while m <= n:
            if i + 2 * m >= n:
                tabla_dp[i][m] = sumas_sufijo[i]
            else:
                mejor_puntaje = 0
                x = 1
                limite_x = 2 * m
                while x <= limite_x:
                    nuevo_m = m
                    if x > m:
                        nuevo_m = x

                    puntaje_oponente = tabla_dp[i + x][nuevo_m]
                    puntaje_actual = sumas_sufijo[i] - puntaje_oponente

                    if puntaje_actual > mejor_puntaje:
                        mejor_puntaje = puntaje_actual
                    
                    x = x + 1
                
                tabla_dp[i][m] = mejor_puntaje
            m = m + 1
        i = i - 1

    resultado = tabla_dp[0][1]
    return resultado"
"class Solution:
    def countBits(self, n: int) -> List[int]:
        #knowing the number of 1-bits in bin. rep of lower values of i than the current i
        #can have to solve current subproblem for i, since if i is odd,
        #number of 1 bits for i = number of 1 bits for previous number(even) + 1
        #number of 1 bits for i if it is even and power of 2 = 1
        #number of 1 bits for i if it not power of 2 but even = number of 
        #largest powers of 2 even numbers I can use to sum up to i!
        #Ex. 6 = 4 + 2 -> used 2 powers of 2 = need 2 1-bits in bin. rep of 6!
        #Ex. 7 = 6 + 1 -> 6 uses 2 1-bits so 7 requires 2+1 = 3 1-bits in its bin. rep!
        
        #I showed with above examples that this problem demonstrates optimal substructure
        #property! -> Might be useful in bottom-up solve for lower values of state
        #parameter i and work your way in inc. order -> State parameter i corresponds
        #to each and every index of ans array length n+1!
        
        #also, we may need to refer to same number multiple times while
        #building up our solution -> Overlapping subproblem property satisfied!
        
        
        #Let me first attempt recursive approach!
        #I know I will face TLE so let's add dp memo for memoization!
        dp = [-1] * (n+1)
        #base cases
        if(n == 0):
            return [0]
        if(n == 1):
            return [0, 1]
        
        #add a memo base case
        if(dp[n] != -1):
            return dp[n]
        
        #for n>1, array with at least 3 elements!
        
        #check if n is even and is power of 2!
        #if it is power of 2, taking bitwise and with itself and one less in value
        #bin. rep should produce all 0-bits1
        if(n % 2 == 0 and (n &amp, n-1) == 0):
            #answer will be array from recursive call on n-1 plus the 1 1-bit required
            #for base 2 power even numbered n!
            dp[n] = self.countBits(n-1) + [1]
            return  self.countBits(n-1) + [1]
        #last index n is odd case!
        if(n%2 != 0):
            recurse = self.countBits(n-1)
            num_bits_prev_num = recurse[-1]
            dp[n] = recurse + [num_bits_prev_num + 1]
            return recurse + [num_bits_prev_num + 1]
        
        #last case: even number n not power of 2!
        else:
            #as long as we didn't reduce n!
            i = 2
            ans = 0
            while n:
                if((n - i) &amp, (n-i-1) == 0):
                    n -= (n-i)
                    i = 2
                    continue
                else:
                    i += 2
            dp[n] = self.countBits(n-1) + [ans]
            return self.countBits(n-1) + [ans]";"def contar_bits(n):
    lista_resultado = []
    for i in range(n + 1):
        contador = 0
        numero = i
        while numero > 0:
            if numero % 2 == 1:
                contador = contador + 1
            numero = numero // 2
        lista_resultado.append(contador)
    return lista_resultado"
